CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
CHLD 2 542.425781 1587455262.6291
MEM 1158.289062 1587455262.7458
CHLD 0 209.230469 1587455262.7616
CHLD 1 197.925781 1587455262.7616
CHLD 2 626.214844 1587455262.7616
MEM 1189.042969 1587455262.8855
CHLD 0 209.238281 1587455262.9324
CHLD 1 209.335938 1587455262.9324
CHLD 2 626.214844 1587455262.9325
MEM 1189.042969 1587455263.0604
CHLD 0 209.238281 1587455263.1036
CHLD 1 209.335938 1587455263.1036
CHLD 2 626.214844 1587455263.1037
MEM 1113.503906 1587455263.2139
CHLD 0 209.238281 1587455263.2456
CHLD 1 209.335938 1587455263.2457
CHLD 2 552.222656 1587455263.2457
MEM 1124.332031 1587455263.3543
CHLD 0 209.238281 1587455263.4052
CHLD 1 209.335938 1587455263.4078
CHLD 2 566.660156 1587455263.4078
MEM 1140.574219 1587455263.5198
CHLD 0 209.265625 1587455263.5713
CHLD 1 209.335938 1587455263.5714
CHLD 2 581.613281 1587455263.5714
MEM 1149.707031 1587455263.6876
CHLD 0 209.464844 1587455263.7513
CHLD 1 209.335938 1587455263.7514
CHLD 2 593.214844 1587455263.7514
MEM 1177.664062 1587455263.8606
CHLD 0 220.289062 1587455263.8980
CHLD 1 209.335938 1587455263.8981
CHLD 2 606.105469 1587455263.8981
MEM 1185.140625 1587455264.0072
CHLD 0 220.289062 1587455264.0534
CHLD 1 209.335938 1587455264.0534
CHLD 2 613.324219 1587455264.0535
MEM 1209.890625 1587455264.1624
CHLD 0 220.289062 1587455264.2320
CHLD 1 209.363281 1587455264.2320
CHLD 2 660.761719 1587455264.2321
MEM 1252.769531 1587455264.3474
CHLD 0 220.289062 1587455264.4137
CHLD 1 209.472656 1587455264.4137
CHLD 2 678.808594 1587455264.4138
MEM 1252.914062 1587455264.5334
CHLD 0 220.503906 1587455264.5779
CHLD 1 209.562500 1587455264.5779
CHLD 2 678.808594 1587455264.5780
MEM 1285.765625 1587455264.6871
CHLD 0 260.207031 1587455264.7256
CHLD 1 220.386719 1587455264.7256
CHLD 2 678.808594 1587455264.7257
MEM 1316.289062 1587455264.8368
CHLD 0 276.707031 1587455264.8754
CHLD 1 220.386719 1587455264.8754
CHLD 2 678.808594 1587455264.8755
MEM 1339.750000 1587455264.9896
CHLD 0 296.300781 1587455265.0304
CHLD 1 220.386719 1587455265.0305
CHLD 2 678.808594 1587455265.0305
MEM 1193.050781 1587455265.1391
CHLD 0 269.546875 1587455265.1617
CHLD 1 220.601562 1587455265.1618
CHLD 2 565.867188 1587455265.1618
MEM 1308.035156 1587455265.2712
CHLD 0 296.359375 1587455265.2840
CHLD 1 280.156250 1587455265.2840
CHLD 2 593.195312 1587455265.2841
MEM 1361.718750 1587455265.4025
