CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
CHLD 0 0.000000 1587455472.0415
CHLD 1 557.433594 1587455472.0415
MEM 702.757812 1587455472.1479
CHLD 0 0.000000 1587455472.1536
CHLD 1 557.949219 1587455472.1536
MEM 703.015625 1587455472.2601
CHLD 0 0.000000 1587455472.2663
CHLD 1 558.207031 1587455472.2663
MEM 703.531250 1587455472.3726
CHLD 0 0.000000 1587455472.3785
CHLD 1 558.722656 1587455472.3785
MEM 704.046875 1587455472.4849
CHLD 0 0.000000 1587455472.4906
CHLD 1 559.238281 1587455472.4906
MEM 704.562500 1587455472.5970
CHLD 0 0.000000 1587455472.6029
CHLD 1 559.753906 1587455472.6029
MEM 704.820312 1587455472.7104
CHLD 0 0.000000 1587455472.7162
CHLD 1 560.011719 1587455472.7163
MEM 705.335938 1587455472.8225
CHLD 0 0.000000 1587455472.8284
CHLD 1 560.527344 1587455472.8285
MEM 705.851562 1587455472.9347
CHLD 0 0.000000 1587455472.9405
CHLD 1 561.042969 1587455472.9405
MEM 706.367188 1587455473.0474
CHLD 0 0.000000 1587455473.0531
CHLD 1 561.558594 1587455473.0532
MEM 706.625000 1587455473.1632
CHLD 0 0.000000 1587455473.1729
CHLD 1 561.816406 1587455473.1730
MEM 707.140625 1587455473.2794
CHLD 0 0.000000 1587455473.2852
CHLD 1 562.332031 1587455473.2852
MEM 707.656250 1587455473.3914
CHLD 0 0.000000 1587455473.3972
CHLD 1 562.847656 1587455473.3973
MEM 707.914062 1587455473.5035
CHLD 0 0.000000 1587455473.5093
CHLD 1 563.363281 1587455473.5093
MEM 603.398438 1587455473.6160
CHLD 0 0.000000 1587455473.6219
CHLD 1 458.589844 1587455473.6219
MEM 603.398438 1587455473.7283
CHLD 0 0.000000 1587455473.7341
CHLD 1 458.589844 1587455473.7341
MEM 603.398438 1587455473.8404
CHLD 0 0.000000 1587455473.8465
CHLD 1 458.589844 1587455473.8465
MEM 603.937500 1587455473.9528
CHLD 0 0.000000 1587455473.9585
CHLD 1 459.386719 1587455473.9585
MEM 604.453125 1587455474.0650
CHLD 0 0.000000 1587455474.0708
CHLD 1 459.644531 1587455474.0708
MEM 604.710938 1587455474.1772
CHLD 0 0.000000 1587455474.1829
CHLD 1 459.902344 1587455474.1829
MEM 604.968750 1587455474.2894
CHLD 0 0.000000 1587455474.2953
CHLD 1 460.160156 1587455474.2953
MEM 605.226562 1587455474.4016
CHLD 0 0.000000 1587455474.4073
CHLD 1 460.417969 1587455474.4074
MEM 605.484375 1587455474.5136
CHLD 0 0.000000 1587455474.5194
CHLD 1 460.675781 1587455474.5194
MEM 605.742188 1587455474.6268
CHLD 0 0.000000 1587455474.6327
CHLD 1 460.933594 1587455474.6327
MEM 270.796875 1587455474.7389
CHLD 0 0.000000 1587455474.7446
CHLD 1 125.988281 1587455474.7447
MEM 497.570312 1587455474.8512
CHLD 0 0.000000 1587455474.8577
CHLD 1 358.761719 1587455474.8578
MEM 532.187500 1587455474.9644
CHLD 0 0.000000 1587455474.9706
CHLD 1 389.378906 1587455474.9706
MEM 510.187500 1587455475.0772
CHLD 0 0.000000 1587455475.0834
CHLD 1 371.378906 1587455475.0834
MEM 481.675781 1587455475.1898
CHLD 0 0.000000 1587455475.1958
CHLD 1 336.867188 1587455475.1958
MEM 481.675781 1587455475.3022
CHLD 0 0.000000 1587455475.3082
CHLD 1 336.867188 1587455475.3082
MEM 144.808594 1587455475.4148
MEM 145.015625 1587455475.5274
MEM 145.015625 1587455475.6503
MEM 145.015625 1587455475.7801
MEM 145.015625 1587455475.9088
MEM 145.015625 1587455476.0405
MEM 145.015625 1587455476.1717
MEM 145.015625 1587455476.3029
MEM 145.015625 1587455476.4347
MEM 145.015625 1587455476.5709
MEM 145.015625 1587455476.7025
MEM 145.015625 1587455476.8376
MEM 145.015625 1587455476.9731
MEM 145.015625 1587455477.1059
MEM 145.015625 1587455477.2397
MEM 145.015625 1587455477.3731
MEM 145.015625 1587455477.5059
MEM 145.015625 1587455477.6332
MEM 145.015625 1587455477.7517
MEM 145.015625 1587455477.8814
MEM 145.015625 1587455478.0063
MEM 145.015625 1587455478.1406
MEM 145.015625 1587455478.2710
MEM 145.015625 1587455478.4060
MEM 145.015625 1587455478.5413
MEM 145.015625 1587455478.6716
MEM 145.015625 1587455478.8068
MEM 145.015625 1587455478.9485
MEM 145.015625 1587455479.0867
MEM 145.015625 1587455479.2206
MEM 145.015625 1587455479.3564
MEM 145.015625 1587455479.4922
MEM 145.015625 1587455479.6297
MEM 145.015625 1587455479.7636
MEM 145.015625 1587455479.8983
MEM 145.015625 1587455480.0330
MEM 145.015625 1587455480.1695
MEM 145.015625 1587455480.3024
MEM 145.015625 1587455480.4354
MEM 145.015625 1587455480.5732
MEM 145.015625 1587455480.7081
MEM 145.015625 1587455480.8441
MEM 145.015625 1587455480.9801
MEM 145.015625 1587455481.1140
MEM 145.015625 1587455481.2497
MEM 145.015625 1587455481.3852
MEM 145.015625 1587455481.5206
MEM 145.015625 1587455481.6549
MEM 145.015625 1587455481.7972
MEM 145.015625 1587455481.9264
MEM 145.015625 1587455482.0629
MEM 145.015625 1587455482.1985
MEM 145.015625 1587455482.3258
MEM 145.015625 1587455482.4549
MEM 145.015625 1587455482.5889
MEM 145.015625 1587455482.7200
MEM 145.015625 1587455482.8393
MEM 145.015625 1587455482.9672
MEM 145.015625 1587455483.1020
MEM 145.015625 1587455483.2340
MEM 145.015625 1587455483.3687
MEM 145.015625 1587455483.5058
MEM 145.015625 1587455483.6423
MEM 145.015625 1587455483.7786
