CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 697.222656 1587455333.9052
CHLD 0 0.000000 1587455333.9118
CHLD 1 553.687500 1587455333.9119
MEM 697.738281 1587455334.0181
CHLD 0 0.000000 1587455334.0244
CHLD 1 554.203125 1587455334.0245
MEM 697.996094 1587455334.1312
CHLD 0 0.000000 1587455334.1380
CHLD 1 554.460938 1587455334.1381
MEM 698.511719 1587455334.2445
CHLD 0 0.000000 1587455334.2507
CHLD 1 554.976562 1587455334.2507
MEM 699.027344 1587455334.3576
CHLD 0 0.000000 1587455334.3634
CHLD 1 555.492188 1587455334.3635
MEM 699.285156 1587455334.4697
CHLD 0 0.000000 1587455334.4768
CHLD 1 555.750000 1587455334.4768
MEM 699.800781 1587455334.5830
CHLD 0 0.000000 1587455334.5902
CHLD 1 556.265625 1587455334.5902
MEM 700.058594 1587455334.6975
CHLD 0 0.000000 1587455334.7041
CHLD 1 556.523438 1587455334.7042
MEM 700.574219 1587455334.8114
CHLD 0 0.000000 1587455334.8175
CHLD 1 557.039062 1587455334.8175
MEM 700.832031 1587455334.9244
CHLD 0 0.000000 1587455334.9309
CHLD 1 557.554688 1587455334.9309
MEM 701.347656 1587455335.0374
CHLD 0 0.000000 1587455335.0432
CHLD 1 557.812500 1587455335.0433
MEM 701.863281 1587455335.1497
CHLD 0 0.000000 1587455335.1566
CHLD 1 558.328125 1587455335.1567
MEM 702.121094 1587455335.2650
CHLD 0 0.000000 1587455335.2709
CHLD 1 558.585938 1587455335.2710
MEM 702.636719 1587455335.3803
CHLD 0 0.000000 1587455335.3880
CHLD 1 559.101562 1587455335.3880
MEM 702.894531 1587455335.4943
CHLD 0 0.000000 1587455335.5012
CHLD 1 559.359375 1587455335.5013
MEM 703.410156 1587455335.6074
CHLD 0 0.000000 1587455335.6143
CHLD 1 559.875000 1587455335.6143
MEM 703.925781 1587455335.7217
CHLD 0 0.000000 1587455335.7278
CHLD 1 560.390625 1587455335.7279
MEM 704.183594 1587455335.8352
CHLD 0 0.000000 1587455335.8420
CHLD 1 560.648438 1587455335.8420
MEM 704.699219 1587455335.9482
CHLD 0 0.000000 1587455335.9544
CHLD 1 561.164062 1587455335.9544
MEM 705.214844 1587455336.0606
CHLD 0 0.000000 1587455336.0668
CHLD 1 561.679688 1587455336.0669
MEM 705.472656 1587455336.1745
CHLD 0 0.000000 1587455336.1809
CHLD 1 561.937500 1587455336.1810
MEM 705.988281 1587455336.2882
CHLD 0 0.000000 1587455336.2943
CHLD 1 562.453125 1587455336.2943
MEM 706.246094 1587455336.4009
CHLD 0 0.000000 1587455336.4071
CHLD 1 562.710938 1587455336.4071
MEM 706.761719 1587455336.5138
CHLD 0 0.000000 1587455336.5197
CHLD 1 563.226562 1587455336.5197
MEM 601.730469 1587455336.6262
CHLD 0 0.000000 1587455336.6320
CHLD 1 458.195312 1587455336.6321
MEM 602.285156 1587455336.7384
CHLD 0 0.000000 1587455336.7451
CHLD 1 458.750000 1587455336.7451
MEM 602.542969 1587455336.8516
CHLD 0 0.000000 1587455336.8586
CHLD 1 459.007812 1587455336.8586
MEM 602.800781 1587455336.9648
CHLD 0 0.000000 1587455336.9707
CHLD 1 459.265625 1587455336.9707
MEM 603.058594 1587455337.0794
CHLD 0 0.000000 1587455337.0852
CHLD 1 459.523438 1587455337.0853
MEM 603.316406 1587455337.1919
CHLD 0 0.000000 1587455337.1979
CHLD 1 459.781250 1587455337.1979
MEM 603.316406 1587455337.3043
CHLD 0 0.000000 1587455337.3106
CHLD 1 460.039062 1587455337.3106
MEM 603.574219 1587455337.4168
CHLD 0 0.000000 1587455337.4239
CHLD 1 460.296875 1587455337.4240
MEM 603.832031 1587455337.5306
CHLD 0 0.000000 1587455337.5375
CHLD 1 460.554688 1587455337.5375
MEM 580.171875 1587455337.6450
CHLD 0 0.000000 1587455337.6521
CHLD 1 436.636719 1587455337.6522
MEM 475.347656 1587455337.7606
CHLD 0 0.000000 1587455337.7670
CHLD 1 338.238281 1587455337.7670
MEM 498.535156 1587455337.8739
CHLD 0 0.000000 1587455337.8800
CHLD 1 361.000000 1587455337.8800
MEM 532.535156 1587455337.9890
CHLD 0 0.000000 1587455337.9960
CHLD 1 339.000000 1587455337.9960
MEM 480.023438 1587455338.1038
CHLD 0 0.000000 1587455338.1106
CHLD 1 336.488281 1587455338.1107
MEM 143.535156 1587455338.2178
MEM 143.808594 1587455338.3300
MEM 143.808594 1587455338.4428
MEM 143.808594 1587455338.5619
MEM 143.808594 1587455338.6868
MEM 143.808594 1587455338.8195
MEM 143.808594 1587455338.9538
MEM 143.808594 1587455339.0850
MEM 143.808594 1587455339.2207
MEM 143.808594 1587455339.3534
MEM 143.808594 1587455339.4860
MEM 143.808594 1587455339.6219
MEM 143.808594 1587455339.7548
MEM 143.808594 1587455339.8755
MEM 143.808594 1587455339.9990
MEM 143.808594 1587455340.1227
MEM 143.808594 1587455340.2597
MEM 143.808594 1587455340.3956
MEM 143.808594 1587455340.5298
MEM 143.808594 1587455340.6593
MEM 143.808594 1587455340.7942
MEM 143.808594 1587455340.9295
MEM 143.808594 1587455341.0657
MEM 143.808594 1587455341.1934
MEM 143.808594 1587455341.3227
MEM 143.808594 1587455341.4407
MEM 143.808594 1587455341.5544
MEM 143.808594 1587455341.6815
MEM 143.808594 1587455341.8205
MEM 143.808594 1587455341.9626
MEM 143.808594 1587455342.1044
MEM 143.808594 1587455342.2410
MEM 143.808594 1587455342.3750
MEM 143.808594 1587455342.5097
MEM 143.808594 1587455342.6386
MEM 143.808594 1587455342.7703
MEM 143.808594 1587455342.9073
MEM 143.808594 1587455343.0424
MEM 143.808594 1587455343.1763
MEM 143.808594 1587455343.3152
MEM 143.808594 1587455343.4313
MEM 143.808594 1587455343.5444
MEM 143.808594 1587455343.6713
MEM 143.808594 1587455343.8027
MEM 143.808594 1587455343.9349
MEM 143.808594 1587455344.0676
MEM 143.808594 1587455344.1990
MEM 143.808594 1587455344.3367
MEM 143.808594 1587455344.4740
MEM 143.808594 1587455344.6058
MEM 143.808594 1587455344.7451
MEM 143.808594 1587455344.8777
MEM 143.808594 1587455345.0088
MEM 143.808594 1587455345.1376
MEM 143.808594 1587455345.2711
MEM 143.808594 1587455345.4036
MEM 143.808594 1587455345.5387
MEM 143.808594 1587455345.6774
MEM 143.808594 1587455345.8093
MEM 143.808594 1587455345.9388
MEM 143.808594 1587455346.0718
MEM 143.808594 1587455346.1919
MEM 143.808594 1587455346.3128
MEM 143.808594 1587455346.4372
MEM 143.808594 1587455346.5624
MEM 143.808594 1587455346.6813
MEM 143.808594 1587455346.8067
MEM 143.808594 1587455346.9410
MEM 143.808594 1587455347.0722
MEM 143.808594 1587455347.2054
MEM 143.808594 1587455347.3386
MEM 143.808594 1587455347.4725
MEM 143.808594 1587455347.6082
MEM 143.808594 1587455347.7444
MEM 143.808594 1587455347.8779
MEM 143.808594 1587455348.0089
MEM 143.808594 1587455348.1425
MEM 143.808594 1587455348.2765
MEM 143.808594 1587455348.4179
MEM 143.808594 1587455348.5537
MEM 143.808594 1587455348.6908
MEM 143.808594 1587455348.8318
MEM 143.808594 1587455348.9519
MEM 143.808594 1587455349.0808
MEM 143.808594 1587455349.2107
MEM 143.808594 1587455349.3451
MEM 143.808594 1587455349.4801
MEM 143.808594 1587455349.6161
MEM 143.808594 1587455349.7499
MEM 143.808594 1587455349.8885
MEM 143.808594 1587455350.0253
MEM 143.808594 1587455350.1521
MEM 143.808594 1587455350.2797
MEM 143.808594 1587455350.4126
MEM 143.808594 1587455350.5461
MEM 143.808594 1587455350.6810
MEM 143.808594 1587455350.8196
MEM 143.808594 1587455350.9561
MEM 143.808594 1587455351.0957
