CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 143.925781 1587454978.8879
CHLD 0 197.816406 1587454978.8992
CHLD 1 254.027344 1587454978.8993
CHLD 2 626.421875 1587454978.8993
MEM 143.925781 1587454979.0000
CHLD 0 209.316406 1587454979.0156
CHLD 1 254.285156 1587454979.0157
CHLD 2 498.613281 1587454979.0158
MEM 143.925781 1587454979.1161
CHLD 0 209.328125 1587454979.1259
CHLD 1 197.472656 1587454979.1259
CHLD 2 523.101562 1587454979.1260
MEM 143.925781 1587454979.2263
CHLD 0 209.328125 1587454979.2387
CHLD 1 197.984375 1587454979.2388
CHLD 2 550.945312 1587454979.2388
MEM 143.925781 1587454979.3393
CHLD 0 209.328125 1587454979.3559
CHLD 1 209.484375 1587454979.3560
CHLD 2 626.484375 1587454979.3560
MEM 143.925781 1587454979.4564
CHLD 0 209.328125 1587454979.4807
CHLD 1 209.484375 1587454979.4808
CHLD 2 626.484375 1587454979.4808
MEM 143.925781 1587454979.5812
CHLD 0 209.328125 1587454979.5948
CHLD 1 209.484375 1587454979.5948
CHLD 2 626.484375 1587454979.5948
MEM 143.925781 1587454979.6952
CHLD 0 209.328125 1587454979.7042
CHLD 1 209.484375 1587454979.7043
CHLD 2 626.484375 1587454979.7043
MEM 143.925781 1587454979.8051
CHLD 0 209.328125 1587454979.8160
CHLD 1 209.484375 1587454979.8161
CHLD 2 550.945312 1587454979.8161
MEM 143.925781 1587454979.9165
CHLD 0 209.328125 1587454979.9251
CHLD 1 209.484375 1587454979.9251
CHLD 2 559.710938 1587454979.9251
MEM 143.925781 1587454980.0254
CHLD 0 209.437500 1587454980.0362
CHLD 1 209.484375 1587454980.0362
CHLD 2 569.250000 1587454980.0363
MEM 143.925781 1587454980.1367
CHLD 0 220.378906 1587454980.1473
CHLD 1 209.484375 1587454980.1473
CHLD 2 577.242188 1587454980.1474
MEM 143.925781 1587454980.2477
CHLD 0 220.585938 1587454980.2560
CHLD 1 209.484375 1587454980.2561
CHLD 2 587.039062 1587454980.2561
MEM 143.925781 1587454980.3564
CHLD 0 220.585938 1587454980.3718
CHLD 1 209.484375 1587454980.3719
CHLD 2 593.484375 1587454980.3719
MEM 143.925781 1587454980.4723
CHLD 0 220.585938 1587454980.4860
CHLD 1 209.484375 1587454980.4861
CHLD 2 598.898438 1587454980.4861
MEM 143.925781 1587454980.5865
CHLD 0 220.585938 1587454980.5990
CHLD 1 209.484375 1587454980.5991
CHLD 2 606.632812 1587454980.5991
MEM 143.925781 1587454980.6994
CHLD 0 220.585938 1587454980.7123
CHLD 1 209.621094 1587454980.7124
CHLD 2 616.945312 1587454980.7124
MEM 143.925781 1587454980.8128
CHLD 0 220.593750 1587454980.8264
CHLD 1 209.710938 1587454980.8264
CHLD 2 679.078125 1587454980.8264
MEM 143.925781 1587454980.9270
CHLD 0 220.593750 1587454980.9435
CHLD 1 219.761719 1587454980.9435
CHLD 2 679.078125 1587454980.9435
MEM 143.925781 1587454981.0451
CHLD 0 220.593750 1587454981.0567
CHLD 1 220.742188 1587454981.0567
CHLD 2 679.078125 1587454981.0567
MEM 143.925781 1587454981.1571
CHLD 0 242.406250 1587454981.1675
CHLD 1 220.742188 1587454981.1676
CHLD 2 679.078125 1587454981.1676
MEM 143.925781 1587454981.2679
CHLD 0 266.742188 1587454981.2765
CHLD 1 220.750000 1587454981.2765
CHLD 2 679.078125 1587454981.2765
MEM 143.925781 1587454981.3769
CHLD 0 275.507812 1587454981.3855
CHLD 1 220.750000 1587454981.3856
CHLD 2 558.144531 1587454981.3856
MEM 143.925781 1587454981.4860
CHLD 0 296.390625 1587454981.4982
CHLD 1 220.750000 1587454981.4982
CHLD 2 581.605469 1587454981.4983
MEM 143.925781 1587454981.6013
CHLD 0 292.324219 1587454981.6131
CHLD 1 296.546875 1587454981.6132
CHLD 2 608.675781 1587454981.6133
MEM 143.925781 1587454981.7152
CHLD 0 269.894531 1587454981.7268
CHLD 1 294.542969 1587454981.7268
CHLD 2 679.058594 1587454981.7269
MEM 143.925781 1587454981.8274
CHLD 0 296.449219 1587454981.8444
CHLD 1 273.660156 1587454981.8445
CHLD 2 679.058594 1587454981.8445
